"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US53011042602","Census Tract 426.02; Clark County; Washington","466300","97507",
"1400000US53011042700","Census Tract 427; Clark County; Washington","292900","66827",
"1400000US53011042800","Census Tract 428; Clark County; Washington","556100","77991",
"1400000US53011042900","Census Tract 429; Clark County; Washington","486100","34548",
"1400000US53011043000","Census Tract 430; Clark County; Washington","439100","28720",
"1400000US53011043100","Census Tract 431; Clark County; Washington","562900","86962",
"1400000US53013960200","Census Tract 9602; Columbia County; Washington","256100","32448",
"1400000US53015000400","Census Tract 4; Cowlitz County; Washington","384400","25783",
"1400000US53015000501","Census Tract 5.01; Cowlitz County; Washington","253300","31581",
"1400000US53015000502","Census Tract 5.02; Cowlitz County; Washington","266500","15157",
"1400000US53015000601","Census Tract 6.01; Cowlitz County; Washington","293400","24773",
"1400000US53015000602","Census Tract 6.02; Cowlitz County; Washington","346700","16675",
"1400000US53015000702","Census Tract 7.02; Cowlitz County; Washington","340600","24219",
"1400000US53015000703","Census Tract 7.03; Cowlitz County; Washington","172900","101105",
"1400000US53015000705","Census Tract 7.05; Cowlitz County; Washington","368800","26649",
"1400000US53015000706","Census Tract 7.06; Cowlitz County; Washington","342300","16671",
"1400000US53015000801","Census Tract 8.01; Cowlitz County; Washington","423700","33834",
"1400000US53015000802","Census Tract 8.02; Cowlitz County; Washington","467900","24148",
"1400000US53015000901","Census Tract 9.01; Cowlitz County; Washington","344200","16882",
"1400000US53015000902","Census Tract 9.02; Cowlitz County; Washington","379200","40833",
"1400000US53015001000","Census Tract 10; Cowlitz County; Washington","268000","24016",
"1400000US53015001100","Census Tract 11; Cowlitz County; Washington","229200","75657",
"1400000US53015001200","Census Tract 12; Cowlitz County; Washington","425600","23911",
"1400000US53015001300","Census Tract 13; Cowlitz County; Washington","282900","37905",
"1400000US53015001501","Census Tract 15.01; Cowlitz County; Washington","454800","43055",
"1400000US53015001503","Census Tract 15.03; Cowlitz County; Washington","464400","61967",
"1400000US53015001504","Census Tract 15.04; Cowlitz County; Washington","460800","35210",
"1400000US53015001601","Census Tract 16.01; Cowlitz County; Washington","405300","48855",
