"GEO_ID","NAME","B25077_001E","B25077_001M","X"
"1400000US53033027902","Census Tract 279.02; King County; Washington","566100","79835",NA
"1400000US53033028000","Census Tract 280; King County; Washington","590400","35950",NA
"1400000US53033028100","Census Tract 281; King County; Washington","452500","44150",NA
"1400000US53033028200","Census Tract 282; King County; Washington","386600","108819",NA
"1400000US53033028300","Census Tract 283; King County; Washington","571500","57853",NA
"1400000US53033028402","Census Tract 284.02; King County; Washington","517500","68609",NA
"1400000US53033028403","Census Tract 284.03; King County; Washington","305200","125012",NA
"1400000US53033028500","Census Tract 285; King County; Washington","556300","68126",NA
"1400000US53033028600","Census Tract 286; King County; Washington","938800","61116",NA
"1400000US53033028700","Census Tract 287; King County; Washington","562700","37166",NA
"1400000US53033028801","Census Tract 288.01; King County; Washington","475000","55115",NA
"1400000US53033028802","Census Tract 288.02; King County; Washington","595800","92142",NA
"1400000US53033028901","Census Tract 289.01; King County; Washington","570700","92895",NA
"1400000US53033028902","Census Tract 289.02; King County; Washington","449400","63812",NA
"1400000US53033029001","Census Tract 290.01; King County; Washington","509900","51800",NA
"1400000US53033029003","Census Tract 290.03; King County; Washington","520700","67493",NA
"1400000US53033029004","Census Tract 290.04; King County; Washington","340700","67211",NA
"1400000US53033029101","Census Tract 291.01; King County; Washington","472900","56021",NA
"1400000US53033029102","Census Tract 291.02; King County; Washington","544000","43315",NA
"1400000US53033029203","Census Tract 292.03; King County; Washington","415700","40684",NA
"1400000US53033029205","Census Tract 292.05; King County; Washington","415200","36374",NA
"1400000US53033029206","Census Tract 292.06; King County; Washington","-","**",NA
"1400000US53033029207","Census Tract 292.07; King County; Washington","651200","20801",NA
"1400000US53033029208","Census Tract 292.08; King County; Washington","456300","171678",NA
"1400000US53033029304","Census Tract 293.04; King County; Washington","624400","29588",NA
"1400000US53033029305","Census Tract 293.05; King County; Washington","654400","45506",NA
"1400000US53033029306","Census Tract 293.06; King County; Washington","528700","64251",NA
"1400000US53033029307","Census Tract 293.07; King County; Washington","582800","45535",NA
"1400000US53033029308","Census Tract 293.08; King County; Washington","569500","47058",NA
"1400000US53033029309","Census Tract 293.09; King County; Washington","495700","58891",NA
"1400000US53033029403","Census Tract 294.03; King County; Washington","535200","43388",NA
"1400000US53033029405","Census Tract 294.05; King County; Washington","548500","35118",NA
"1400000US53033029406","Census Tract 294.06; King County; Washington","595700","29326",NA
"1400000US53033029407","Census Tract 294.07; King County; Washington","454200","30532",NA
"1400000US53033029408","Census Tract 294.08; King County; Washington","397600","76819",NA
"1400000US53033029504","Census Tract 295.04; King County; Washington","433400","41441",NA
"1400000US53033029505","Census Tract 295.05; King County; Washington","561600","70691",NA
"1400000US53033029506","Census Tract 295.06; King County; Washington","359800","232885",NA
"1400000US53033029507","Census Tract 295.07; King County; Washington","635700","52876",NA
"1400000US53033029508","Census Tract 295.08; King County; Washington","603400","32433",NA
"1400000US53033029602","Census Tract 296.02; King County; Washington","656200","24091",NA
"1400000US53033029603","Census Tract 296.03; King County; Washington","574000","123580",NA
"1400000US53033029604","Census Tract 296.04; King County; Washington","488900","66778",NA
"1400000US53033029701","Census Tract 297.01; King County; Washington","544400","84127",NA
